ARG	ID	RESULTNAME	KOMMENTAR	LABEL	DATENTYP	NAME	EINHEIT	
-	0x5827	STAT_0x5827_WERT	Lambdasonden Heizung Vorkat 1	LSHPWM_UP[1]	unsigned char	-	%	
-	0x5828	STAT_0x5828_WERT	Lambdasonden Heizung Vorkat 2	LSHPWM_UP[2]	unsigned char	-	%	
-	0x5829	STAT_0x5829_WERT	Lambdasonden Heizung Hinterkat 1	LSHPWM_DOWN[1]	unsigned char	-	%	
-	0x582A	STAT_0x582A_WERT	Lambdasonden Heizung Hinterkat 2	LSHPWM_DOWN[2]	unsigned char	-	%	
IDRCA	0x582B	STAT_DREHMOMENTEINGRIFF_CAN_WERT	Drehmomenteingriff über CAN	STATE_TQ_CAN_PLAUS	unsigned char	-	-	
-	0x582C	STAT_0x582C_WERT	Anzahl ungültiger Schreibüberprüfungszyklen am SPI-Interface der Lambdasonde vor Kat Bank 1	CTR_ERR_LSL_IF_SPI_WR[1]	unsigned char	-	-	
-	0x582D	STAT_0x582D_WERT	Anzahl ungültiger Schreibüberprüfungszyklen am SPI-Interface der Lambdasonde vor Kat Bank 2	CTR_ERR_LSL_IF_SPI_WR[2]	unsigned char	-	-	
-	0x582E	STAT_0x582E_WERT	Adaptionsfaktor Sensor Zeitkonstante vor Kat Bank 1	FAC_DIAG_DYN_LSL_UP[1]	unsigned char	-	-	
-	0x582F	STAT_0x582F_WERT	Adaptionsfaktor Sensor Zeitkonstante vor Kat Bank 2	FAC_DIAG_DYN_LSL_UP[2]	unsigned char	-	-	
-	0x5830	STAT_0x5830_WERT	Mittelwert der normierten Signalamplitude der Lambdasonde vor Kat Bank 1	FAC_MV_DIAG_DYN_LSL_UP[1]	unsigned char	-	-	
-	0x5831	STAT_0x5831_WERT	Mittelwert der normierten Signalamplitude der Lambdasonde vor Kat Bank 2	FAC_MV_DIAG_DYN_LSL_UP[2]	unsigned char	-	-	
IMOST	0x5832	STAT_MOTOR_STATUS_WERT	Motor Status	STATE_ENG	0xFF	_CNV_S_6_RANGE_STAT_146	0-n	
-	0x5833	STAT_0x5833_WERT	Umgebungstemperatur beim Start	TAM_ST	unsigned char	-	°C	
-	0x5834	STAT_0x5834_WERT	Umgebungsdruck	AMP_MES	unsigned char	-	hPa	
INGRD	0x5836	STAT_DREHZAHLGRADIENT_WERT	Drehzahlgradient	N_GRD	signed char	-	rpm/s	
-	0x5837	STAT_0x5837_WERT	Status OBD-I Fehler vor Kat Bank 1	STATE_ERR_EL_LSL_UP[1]	0xFF	_CNV_S_11_EGCP_RANGE_728	0-n	
-	0x5838	STAT_0x5838_WERT	Status OBD-I Fehler vor Kat Bank 2	STATE_ERR_EL_LSL_UP[2]	0xFF	_CNV_S_11_EGCP_RANGE_728	0-n	
ISDKN	0x5839	STAT_DROSSELKLAPPE_NOTLAUF_WERT	Status Drosselklappe Notlauf	STATE_ETC_LIH	0xFF	_CNV_S_6_RANGE_STAT_305	0-n	
-	0x583A	STAT_0x583A_WERT	Ansauglufttemperatur beim Start	TIA_ST	unsigned char	-	°C	
IKTFS	0x583B	STAT_KRAFTSTOFFTANK_FUELLSTAND_WERT	Kraftstofftank Füllstand	FTL	unsigned char	-	l	
-	0x583C	STAT_0x583C_WERT	Spannung Kl. 87	VB	unsigned char	-	V	
