ARG	ID	RESULTNAME	KOMMENTAR	LABEL	DATENTYP	NAME	EINHEIT	
-	0x58BD	STAT_0x58BD_WERT	Modellluftmasse Überwachung tiefpassgefiltert	MAF_SUB_COR_MMV_MON	unsigned char	-	mg/stk	
IMMSR	0x58BF	STAT_MOMENTENANFORDERUNG_VON_MSR_RELATIV_WERT	relative Momentenforderung von MSR über CAN	TQI_MSR_CAN	unsigned char	-	%	
-	0x58C0	STAT_0x58C0_WERT	Motordrehzahl Eratztwert Überwachung	N_32_SUB_MON	unsigned char	-	rpm	
ITLSZ	0x58C1	STAT_LAUFUNRUHE_SEGMENTZEIT_WERT	Laufunruhe Segmentzeit	SEG_T_MES	unsigned char	-	µs	
INSUE	0x58C7	STAT_LEERLAUF_SOLLDREHZAHLABWEICHUNG_WERT	LL-Solldrehzahlabweichung Überwachung	N_DIF_SP_IS_MON	unsigned char	-	rpm	
-	0x58C8	STAT_0x58C8_WERT	I-Anteil Momentdifferenz Überwachung und Modell	TQ_DIF_I_IS_MON	signed char	-	Nm	
-	0x58C9	STAT_0x58C9_WERT	I-Anteil LL passive Rampe aktiv	LV_PAS_RAMP_ACT_I_IS	0xFF	-	0/1	
-	0x58CA	STAT_0x58CA_WERT	PD-Anteil langsam Leerlaufregelung	TQ_DIF_P_D_SLOW_IS	signed char	-	Nm	
-	0x58CB	STAT_0x58CB_WERT	PD-Anteil schnell Leerlaufregelung	TQ_DIF_P_D_FAST_IS	signed char	-	Nm	
-	0x58CC	STAT_0x58CC_WERT	Verlustmoment Überwachung	TQ_LOSS_MON	signed char	-	Nm	
-	0x58CD	STAT_0x58CD_WERT	Verlustmomentabweichung Überwachung	TQ_LOSS_DIF_MON	signed char	-	Nm	
-	0x58CE	STAT_0x58CE_WERT	Carrierbyte Schalterstati	STATE_BYTE_SWI_KWP	unsigned char	-	-	
SMOMO	0x58CF	STAT_MOTORMOMENT_SOLL_WERT	Motormoment Sollwert Überwachung	TQI_SP_MON	unsigned char	-	Nm	
IMOMO	0x58D0	STAT_MOTORMOMENT_IST_WERT	Motormoment Istwert Überwachung	TQI_AV_MON	unsigned char	-	Nm	
IMOAK	0x58D1	STAT_MOTORMOMENT_AKTUELL_WERT	Moment aktueller Wert	TQI_AV	signed char	-	Nm	
-	0x58D4	STAT_0x58D4_WERT	Abweichung maximales Moment an Kupplung Überwachung	TQ_MAX_CLU_DIF_MON	signed char	-	Nm	
-	0x58D6	STAT_0x58D6_WERT	Abweichung minimales Moment an Kupplung Überwachung	TQ_MIN_CLU_DIF_MON	signed char	-	Nm	
-	0x58D9	STAT_0x58D9_WERT	Fehler Hauptrechner	ERR_COD_MC_SAVE	0xFF	_CNV_S_14_TMO3_ERR_C_422	0-n	
-	0x58DA	STAT_0x58DA_WERT	Fehler Überwachungsrechner	ERR_COD_MU_SAVE	0xFF	_CNV_S_21_TMO3_ERR_C_423	0-n	
-	0x58DB	STAT_0x58DB_WERT	Fehler Bitfeld high Byte	STATE_N_MAX_MON_HIGH_KWP	unsigned char	-	-	
-	0x58DC	STAT_0x58DC_WERT	Fehler Bitfeld low Byte	STATE_N_MAX_MON_LOW_KWP	unsigned char	-	-	
IUSPS	0x58DF	STAT_SPORTSCHALTER_SPANNUNG_WERT	Spannung Sportschalter	V_SOF_SWI_KWP	unsigned char	-	V	
-	0x58E0	STAT_0x58E0_WERT	Abgleich Drosselklappenmodell (Faktor)	EISYDK_KORFAK_B	unsigned char	-	-	
-	0x58E1	STAT_0x58E1_WERT	Abgleich Drosselklappenmodell (Offset)	EISYDK_KOROFF_B	signed char	-	kg/h	
-	0x58E2	STAT_0x58E2_WERT	Abgleich Einlassventilmodell (Faktor)	EISYEV_KORFAK_B	unsigned char	-	-	
-	0x58E3	STAT_0x58E3_WERT	Abgleich Einlassventilmodell (Offset)	EISYEV_KOROFF_B	signed char	-	kg/h	
-	0x58E4	STAT_0x58E4	Betriebsart Istwert	BA_IST	0xFF	_CNV_S_7_Def_ba_467	0-n	
INMAZ	0x58E5	STAT_DREHZAHL_MAXIMAL_BEI_ZUENDAUSSETZER_WERT	Maximale Drehzahl bei Zündaussetzern	N_MAX_SCDN_MIS_32_KWP	unsigned char	-	rpm	
ILMAZ	0x58E6	STAT_LAST_MAXIMAL_BEI_ZUENDAUSSETZER_RELATIV_WERT	Maximale relative Last bei Zündaussetzern	LOAD_MAX_SCDN_MIS	unsigned char	-	%	
ILMIZ	0x58E7	STAT_LAST_MINIMAL_BEI_ZUENDAUSSETZER_RELATIV_WERT	Minimale relative Last bei Zündaussetzern	LOAD_MIN_SCDN_MIS	unsigned char	-	%	
INMIZ	0x58E8	STAT_DREHZAHL_MINIMAL_BEI_ZUENDAUSSETZER_WERT	Minimale Drehzahl bei Zündaussetzern	N_MIN_SCDN_MIS_32_KWP	unsigned char	-	rpm	
IUWAP	0x58E9	STAT_WASSERPUMPE_SPANNUNG_WERT	Wasserpumpe Spannung	V_CWP	unsigned char	-	V	
-	0x58EA	STAT_0x58EA_WERT	Wasserpumpe Drehzahl	N_REL_CWP	unsigned char	-	-	
INWSI	0x58EB	STAT_WASSERPUMPE_DREHZAHL_SOLL_IST_DIFFERENZ_WERT	Wasserpumpe Drehzahl Soll-Ist-Differenz	N_REL_CWP_DIF	unsigned char	-	-	
-	0x58EC	STAT_0x58EC_WERT	Wasserpumpe Temperatur Elektronik	TEMP_EL_CWP	unsigned char	-	°C	
-	0x58ED	STAT_0x58ED_WERT	Wasserpumpe Stromaufnahme	CUR_CNS_CWP	unsigned char	-	A	
ILWAP	0x58EE	STAT_WASSERPUMPE_LEISTUNGSREDUZIERT_WERT	Wasserpumpe leistungsreduziert	REL_CWP_PWR	unsigned char	-	%	
IDMEL	0x58F1	STAT_DME_LOSNUMMER_WERT	DME - Losnummer	STATE_LRN_ECU	0xFF	_CNV_S_8_RANGE_STAT_326	0-n	
-	0x58F5	STAT_0x58F5_WERT	Eingangssignal Rückführregler 1	VLS_DIF_LAM_ADJ_KWP[1]	signed char	-	V	
-	0x58F6	STAT_0x58F6_WERT	Eingangssignal Rückführregler 2	VLS_DIF_LAM_ADJ_KWP[2]	signed char	-	V	
ILSA5	0x58F8	STAT_LAUFUNRUHE_SEGMENTADAPTION_ZYL5_WERT	Segmentadaption Laufunruhe Zyl. 5	SEG_AD_MMV_ER[1]	signed char	-	%.	
ILSA3	0x58F9	STAT_LAUFUNRUHE_SEGMENTADAPTION_ZYL3_WERT	Segmentadaption Laufunruhe Zyl. 3	SEG_AD_MMV_ER[2]	signed char	-	%.	
-	0x58FA	STAT_0x58FA_WERT	Beladungsgrad Aktivkohlefilter TEV- Funktionstest	CL_MMV_SAE	unsigned char	-	-	
-	0x58FB	STAT_0x58FB_WERT	Zähler Drehzahlerhöhungen TEV- Funktionstest	SUM_DIAG_DIAGCPS_SAE	unsigned char	-	cyc	
-	0x58FF	-	Umweltbedingung unbekannt	-	unsigned char	-	-	
